ul_output,ur_output,ll_output,lr_output
236.0,-139.42,236.0,-139.42
226.31,-135.58,226.31,-135.58
216.49,-131.85,216.49,-131.85
206.56,-128.21,206.56,-128.21
196.56,-124.63,196.56,-124.63
186.49,-121.08,186.49,-121.08
176.39,-117.54,176.39,-117.54
166.28,-113.97,166.28,-113.97
156.19,-110.35,156.19,-110.35
146.15,-106.64,146.15,-106.64
136.2,-102.8,136.2,-102.8
126.38,-98.8,126.38,-98.8
116.71,-94.6,116.71,-94.6
107.24,-90.15,107.24,-90.15
98.02,-85.42,98.02,-85.42
89.08,-80.37,89.08,-80.37
80.47,-74.94,80.47,-74.94
72.25,-69.1,72.25,-69.1
64.45,-62.79,64.45,-62.79
57.15,-55.96,57.15,-55.96
50.39,-48.58,50.39,-48.58
44.22,-40.58,44.22,-40.58
38.71,-31.91,38.71,-31.91
33.93,-22.53,33.93,-22.53
29.92,-12.37,29.92,-12.37
26.76,-1.4,26.76,-1.4
24.51,10.46,24.51,10.46
23.24,23.24,23.24,23.24
23.01,37.01,23.01,37.01
23.9,51.81,23.9,51.81
25.97,67.71,25.97,67.71
29.29,84.74,29.29,84.74
77.23,42.61,77.23,42.61
79.26,44.66,79.26,44.66
81.32,46.75,81.32,46.75
83.42,48.87,83.42,48.87
85.55,51.03,85.55,51.03
87.71,53.21,87.71,53.21
89.9,55.43,89.9,55.43
91.01,56.56,91.01,56.56
666.15,-417.6,666.15,-417.6
667.91,-415.05,667.91,-415.05
669.7,-412.46,669.7,-412.46
671.52,-409.83,671.52,-409.83
673.36,-407.17,673.36,-407.17
675.23,-404.46,675.23,-404.46
677.13,-401.72,677.13,-401.72
678.08,-400.34,678.08,-400.34
678.08,-400.34,678.08,-400.34
657.88,-412.99,657.88,-412.99
639.13,-423.44,639.13,-423.44
621.78,-431.78,621.78,-431.78
605.74,-438.14,605.74,-438.14
590.93,-442.64,590.93,-442.64
577.28,-445.39,577.28,-445.39
564.72,-446.52,564.72,-446.52
553.17,-446.16,553.17,-446.16
542.56,-444.41,542.56,-444.41
532.8,-441.41,532.8,-441.41
523.84,-437.26,523.84,-437.26
515.59,-432.08,515.59,-432.08
507.99,-425.99,507.99,-425.99
500.98,-419.08,500.98,-419.08
494.48,-411.46,494.48,-411.46
488.44,-403.23,488.44,-403.23
482.78,-394.47,482.78,-394.47
477.46,-385.29,477.46,-385.29
472.42,-375.76,472.42,-375.76
467.59,-365.96,467.59,-365.96
462.93,-355.97,462.93,-355.97
458.4,-345.85,458.4,-345.85
453.93,-335.67,453.93,-335.67
449.49,-325.48,449.49,-325.48
445.03,-315.35,445.03,-315.35
440.53,-305.32,440.53,-305.32
435.93,-295.44,435.93,-295.44
431.2,-285.76,431.2,-285.76
426.32,-276.3,426.32,-276.3
421.25,-267.1,421.25,-267.1
415.97,-258.19,415.97,-258.19
410.46,-249.59,410.46,-249.59
404.69,-241.33,404.69,-241.33
398.65,-233.43,398.65,-233.43
392.31,-225.9,392.31,-225.9
385.67,-218.74,385.67,-218.74
378.72,-211.97,378.72,-211.97
371.45,-205.6,371.45,-205.6
363.86,-199.61,363.86,-199.61
355.93,-194.01,355.93,-194.01
347.68,-188.79,347.68,-188.79
339.11,-183.94,339.11,-183.94
330.22,-179.45,330.22,-179.45
321.03,-175.3,321.03,-175.3
311.54,-171.48,311.54,-171.48
301.77,-167.95,301.77,-167.95
291.74,-164.7,291.74,-164.7
281.47,-161.7,281.47,-161.7
270.99,-158.9,270.99,-158.9
260.32,-156.29,260.32,-156.29
249.49,-153.81,249.49,-153.81
238.55,-151.42,238.55,-151.42
227.53,-149.09,227.53,-149.09
216.46,-146.76,216.46,-146.76
205.41,-144.37,205.41,-144.37
194.41,-141.88,194.41,-141.88
183.51,-139.23,183.51,-139.23
172.79,-136.35,172.79,-136.35
162.29,-133.17,162.29,-133.17
152.09,-129.64,152.09,-129.64
142.24,-125.68,142.24,-125.68
132.83,-121.21,132.83,-121.21
123.93,-116.16,123.93,-116.16
115.62,-110.45,115.62,-110.45
107.98,-104.0,107.98,-104.0
101.11,-96.72,101.11,-96.72
95.09,-88.54,95.09,-88.54
90.02,-79.36,90.02,-79.36
86.0,-69.1,86.0,-69.1
83.12,-57.67,83.12,-57.67
81.49,-44.97,81.49,-44.97
81.22,-30.92,81.22,-30.92
82.4,-15.44,82.4,-15.44
85.14,1.57,85.14,1.57
89.56,20.2,89.56,20.2
95.76,40.52,95.76,40.52
103.84,62.63,103.84,62.63
93.25,58.83,93.25,58.83
95.53,61.13,95.53,61.13
97.84,63.46,97.84,63.46
100.18,65.83,100.18,65.83
102.55,68.23,102.55,68.23
104.95,70.66,104.95,70.66
107.39,73.13,107.39,73.13
108.62,74.37,108.62,74.37
680.02,-397.54,680.02,-397.54
681.99,-394.7,681.99,-394.7
683.98,-391.83,683.98,-391.83
686.0,-388.91,686.0,-388.91
688.05,-385.96,688.05,-385.96
690.13,-382.98,690.13,-382.98
692.23,-379.95,692.23,-379.95
693.29,-378.43,693.29,-378.43
693.29,-378.43,693.29,-378.43
672.71,-391.63,672.71,-391.63
653.4,-402.92,653.4,-402.92
635.29,-412.37,635.29,-412.37
618.34,-420.07,618.34,-420.07
602.48,-426.11,602.48,-426.11
587.66,-430.59,587.66,-430.59
573.82,-433.58,573.82,-433.58
560.9,-435.2,560.9,-435.2
548.85,-435.52,548.85,-435.52
537.61,-434.64,537.61,-434.64
527.12,-432.65,527.12,-432.65
517.34,-429.65,517.34,-429.65
508.2,-425.71,508.2,-425.71
499.65,-420.92,499.65,-420.92
491.64,-415.37,491.64,-415.37
484.12,-409.14,484.12,-409.14
477.04,-402.3,477.04,-402.3
470.35,-394.92,470.35,-394.92
464.01,-387.09,464.01,-387.09
457.96,-378.87,457.96,-378.87
452.17,-370.31,452.17,-370.31
446.59,-361.49,446.59,-361.49
441.19,-352.46,441.19,-352.46
435.92,-343.28,435.92,-343.28
430.75,-333.99,430.75,-333.99
425.64,-324.64,425.64,-324.64
420.56,-315.28,420.56,-315.28
415.48,-305.95,415.48,-305.95
410.36,-296.68,410.36,-296.68
405.19,-287.51,405.19,-287.51
399.92,-278.47,399.92,-278.47
394.55,-269.6,394.55,-269.6
389.05,-260.91,389.05,-260.91
383.39,-252.42,383.39,-252.42
377.57,-244.17,377.57,-244.17
371.55,-236.16,371.55,-236.16
365.33,-228.41,365.33,-228.41
358.9,-220.92,358.9,-220.92
352.24,-213.73,352.24,-213.73
345.35,-206.81,345.35,-206.81
338.22,-200.19,338.22,-200.19
330.83,-193.86,330.83,-193.86
323.2,-187.83,323.2,-187.83
315.32,-182.08,315.32,-182.08
307.19,-176.62,307.19,-176.62
298.81,-171.43,298.81,-171.43
290.19,-166.52,290.19,-166.52
281.34,-161.85,281.34,-161.85
272.26,-157.43,272.26,-157.43
262.97,-153.23,262.97,-153.23
253.47,-149.23,253.47,-149.23
243.8,-145.41,243.8,-145.41
233.96,-141.75,233.96,-141.75
223.98,-138.23,223.98,-138.23
213.88,-134.8,213.88,-134.8
203.68,-131.45,203.68,-131.45
193.42,-128.14,193.42,-128.14
183.11,-124.84,183.11,-124.84
172.81,-121.5,172.81,-121.5
162.54,-118.09,162.54,-118.09
152.35,-114.57,152.35,-114.57
142.26,-110.89,142.26,-110.89
132.34,-107.0,132.34,-107.0
122.62,-102.87,122.62,-102.87
113.16,-98.42,113.16,-98.42
104.0,-93.63,104.0,-93.63
95.21,-88.42,95.21,-88.42
86.84,-82.75,86.84,-82.75
78.95,-76.55,78.95,-76.55
71.61,-69.77,71.61,-69.77
64.88,-62.35,64.88,-62.35
58.83,-54.22,58.83,-54.22
53.54,-45.31,53.54,-45.31
49.07,-35.58,49.07,-35.58
45.51,-24.95,45.51,-24.95
42.93,-13.35,42.93,-13.35
41.4,-0.72,41.4,-0.72
41.02,13.0,41.02,13.0
41.86,27.89,41.86,27.89
44.0,44.0,44.0,44.0
47.54,61.41,47.54,61.41
52.54,80.17,52.54,80.17
59.09,100.35,59.09,100.35
67.27,122.01,67.27,122.01
59.95,128.38,59.95,128.38
62.51,130.88,62.51,130.88
65.1,133.42,65.1,133.42
67.73,135.98,67.73,135.98
70.39,138.58,70.39,138.58
73.08,141.21,73.08,141.21
75.8,143.87,75.8,143.87
77.17,145.21,77.17,145.21
695.43,-375.35,695.43,-375.35
697.6,-372.23,697.6,-372.23
699.8,-369.08,699.8,-369.08
702.03,-365.89,702.03,-365.89
704.28,-362.66,704.28,-362.66
706.56,-359.4,706.56,-359.4
708.86,-356.1,708.86,-356.1
710.02,-354.44,710.02,-354.44
710.02,-354.44,710.02,-354.44
687.47,-370.47,687.47,-370.47
666.33,-384.39,666.33,-384.39
646.53,-396.28,646.53,-396.28
628.02,-406.23,628.02,-406.23
610.74,-414.33,610.74,-414.33
594.62,-420.68,594.62,-420.68
579.6,-425.38,579.6,-425.38
565.61,-428.53,565.61,-428.53
552.6,-430.23,552.6,-430.23
540.51,-430.57,540.51,-430.57
529.26,-429.66,529.26,-429.66
518.81,-427.59,518.81,-427.59
509.09,-424.46,509.09,-424.46
500.05,-420.37,500.05,-420.37
491.61,-415.41,491.61,-415.41
483.74,-409.66,483.74,-409.66
476.37,-403.21,476.37,-403.21
469.44,-396.15,469.44,-396.15
462.92,-388.56,462.92,-388.56
456.74,-380.5,456.74,-380.5
450.86,-372.06,450.86,-372.06
445.24,-363.29,445.24,-363.29
439.82,-354.28,439.82,-354.28
434.56,-345.07,434.56,-345.07
429.42,-335.72,429.42,-335.72
424.37,-326.29,424.37,-326.29
419.37,-316.82,419.37,-316.82
414.37,-307.37,414.37,-307.37
409.35,-297.97,409.35,-297.97
404.28,-288.66,404.28,-288.66
399.13,-279.48,399.13,-279.48
393.87,-270.47,393.87,-270.47
388.47,-261.64,388.47,-261.64
382.92,-253.02,382.92,-253.02
377.19,-244.64,377.19,-244.64
371.26,-236.52,371.26,-236.52
365.12,-228.67,365.12,-228.67
358.76,-221.1,358.76,-221.1
352.15,-213.83,352.15,-213.83
345.3,-206.87,345.3,-206.87
338.2,-200.21,338.2,-200.21
330.83,-193.87,330.83,-193.87
323.2,-187.83,323.2,-187.83
315.3,-182.1,315.3,-182.1
307.14,-176.67,307.14,-176.67
298.72,-171.54,298.72,-171.54
290.04,-166.69,290.04,-166.69
281.12,-162.1,281.12,-162.1
271.96,-157.77,271.96,-157.77
262.58,-153.67,262.58,-153.67
252.99,-149.79,252.99,-149.79
243.2,-146.09,243.2,-146.09
233.26,-142.56,233.26,-142.56
223.16,-139.15,223.16,-139.15
212.95,-135.85,212.95,-135.85
202.64,-132.62,202.64,-132.62
192.28,-129.42,192.28,-129.42
181.89,-126.21,181.89,-126.21
171.51,-122.95,171.51,-122.95
161.19,-119.59,161.19,-119.59
150.96,-116.1,150.96,-116.1
140.87,-112.41,140.87,-112.41
130.98,-108.48,130.98,-108.48
121.33,-104.26,121.33,-104.26
111.99,-99.69,111.99,-99.69
103.0,-94.7,103.0,-94.7
94.43,-89.25,94.43,-89.25
86.35,-83.26,86.35,-83.26
78.82,-76.68,78.82,-76.68
71.92,-69.44,71.92,-69.44
65.72,-61.46,65.72,-61.46
60.3,-52.69,60.3,-52.69
55.73,-43.05,55.73,-43.05
52.1,-32.46,52.1,-32.46
49.48,-20.87,49.48,-20.87
47.98,-8.2,47.98,-8.2
47.66,5.63,47.66,5.63
48.63,20.69,48.63,20.69
50.97,37.04,50.97,37.04
54.76,54.76,54.76,54.76
60.1,73.92,60.1,73.92
67.08,94.58,67.08,94.58
75.79,116.82,75.79,116.82
86.3,140.69,86.3,140.69
79.94,147.91,79.94,147.91
82.74,150.65,82.74,150.65
85.57,153.42,85.57,153.42
88.44,156.22,88.44,156.22
91.33,159.05,91.33,159.05
94.26,161.91,94.26,161.91
97.22,164.8,97.22,164.8
98.71,166.26,98.71,166.26
712.37,-351.08,712.37,-351.08
714.74,-347.7,714.74,-347.7
717.14,-344.27,717.14,-344.27
719.56,-340.81,719.56,-340.81
722.01,-337.32,722.01,-337.32
724.49,-333.79,724.49,-333.79
726.99,-330.22,726.99,-330.22
728.26,-328.43,728.26,-328.43
728.26,-328.43,728.26,-328.43
703.62,-347.43,703.62,-347.43
680.54,-364.12,680.54,-364.12
658.94,-378.58,658.94,-378.58
638.78,-390.91,638.78,-390.91
619.97,-401.2,619.97,-401.2
602.45,-409.55,602.45,-409.55
586.17,-416.07,586.17,-416.07
571.03,-420.87,571.03,-420.87
556.99,-424.04,556.99,-424.04
543.97,-425.7,543.97,-425.7
531.91,-425.96,531.91,-425.96
520.73,-424.92,520.73,-424.92
510.38,-422.68,510.38,-422.68
500.78,-419.35,500.78,-419.35
491.88,-415.04,491.88,-415.04
483.61,-409.83,483.61,-409.83
475.91,-403.83,475.91,-403.83
468.73,-397.13,468.73,-397.13
461.99,-389.81,461.99,-389.81
455.66,-381.96,455.66,-381.96
449.67,-373.65,449.67,-373.65
443.97,-364.97,443.97,-364.97
438.52,-355.99,438.52,-355.99
433.26,-346.78,433.26,-346.78
428.15,-337.39,428.15,-337.39
423.14,-327.89,423.14,-327.89
418.2,-318.33,418.2,-318.33
413.29,-308.76,413.29,-308.76
408.36,-299.24,408.36,-299.24
403.39,-289.8,403.39,-289.8
398.34,-280.48,398.34,-280.48
393.18,-271.32,393.18,-271.32
387.89,-262.36,387.89,-262.36
382.44,-253.61,382.44,-253.61
376.8,-245.11,376.8,-245.11
370.97,-236.88,370.97,-236.88
364.91,-228.93,364.91,-228.93
358.61,-221.28,358.61,-221.28
352.07,-213.94,352.07,-213.94
345.26,-206.92,345.26,-206.92
338.18,-200.23,338.18,-200.23
330.83,-193.87,330.83,-193.87
323.2,-187.83,323.2,-187.83
315.29,-182.12,315.29,-182.12
307.1,-176.73,307.1,-176.73
298.63,-171.65,298.63,-171.65
289.9,-166.86,289.9,-166.86
280.9,-162.36,280.9,-162.36
271.66,-158.12,271.66,-158.12
262.19,-154.12,262.19,-154.12
252.5,-150.35,252.5,-150.35
242.61,-146.77,242.61,-146.77
232.56,-143.35,232.56,-143.35
222.35,-140.07,222.35,-140.07
212.03,-136.89,212.03,-136.89
201.62,-133.77,201.62,-133.77
191.16,-130.66,191.16,-130.66
180.69,-127.54,180.69,-127.54
170.25,-124.34,170.25,-124.34
159.88,-121.03,159.88,-121.03
149.64,-117.55,149.64,-117.55
139.57,-113.84,139.57,-113.84
129.72,-109.85,129.72,-109.85
120.17,-105.52,120.17,-105.52
110.96,-100.79,110.96,-100.79
102.17,-95.59,102.17,-95.59
93.86,-89.85,93.86,-89.85
86.11,-83.51,86.11,-83.51
78.99,-76.5,78.99,-76.5
72.58,-68.74,72.58,-68.74
66.96,-60.17,66.96,-60.17
62.22,-50.69,62.22,-50.69
58.44,-40.24,58.44,-40.24
55.71,-28.74,55.71,-28.74
54.12,-16.12,54.12,-16.12
53.77,-2.29,53.77,-2.29
54.76,12.83,54.76,12.83
57.17,29.31,57.17,29.31
61.1,47.22,61.1,47.22
66.65,66.65,66.65,66.65
73.92,87.67,73.92,87.67
83.0,110.35,83.0,110.35
93.98,134.75,93.98,134.75
106.95,160.96,106.95,160.96
101.71,169.19,101.71,169.19
104.75,172.16,104.75,172.16
107.82,175.16,107.82,175.16
110.91,178.19,110.91,178.19
114.04,181.24,114.04,181.24
117.2,184.33,117.2,184.33
120.39,187.45,120.39,187.45
122.0,189.02,122.0,189.02
728.26,-328.43,728.26,-328.43
703.51,-347.59,703.51,-347.59
680.32,-364.42,680.32,-364.42
658.64,-379.01,658.64,-379.01
638.4,-391.45,638.4,-391.45
619.53,-401.83,619.53,-401.83
601.97,-410.24,601.97,-410.24
585.65,-416.81,585.65,-416.81
570.5,-421.62,570.5,-421.62
556.46,-424.79,556.46,-424.79
543.47,-426.41,543.47,-426.41
531.44,-426.61,531.44,-426.61
520.32,-425.48,520.32,-425.48
510.05,-423.14,510.05,-423.14
500.55,-419.68,500.55,-419.68
491.76,-415.2,491.76,-415.2
483.63,-409.81,483.63,-409.81
476.08,-403.6,476.08,-403.6
469.07,-396.66,469.07,-396.66
462.53,-389.09,462.53,-389.09
456.4,-380.96,456.4,-380.96
450.64,-372.36,450.64,-372.36
445.18,-363.37,445.18,-363.37
439.99,-354.05,439.99,-354.05
435.0,-344.48,435.0,-344.48
430.18,-334.73,430.18,-334.73
425.48,-324.85,425.48,-324.85
420.85,-314.9,420.85,-314.9
416.27,-304.93,416.27,-304.93
411.68,-295.0,411.68,-295.0
407.05,-285.14,407.05,-285.14
402.36,-275.4,402.36,-275.4
397.56,-265.81,397.56,-265.81
392.64,-256.41,392.64,-256.41
387.56,-247.24,387.56,-247.24
382.29,-238.31,382.29,-238.31
376.83,-229.65,376.83,-229.65
371.14,-221.28,371.14,-221.28
365.21,-213.21,365.21,-213.21
359.03,-205.47,359.03,-205.47
352.58,-198.07,352.58,-198.07
345.85,-191.0,345.85,-191.0
338.83,-184.28,338.83,-184.28
331.52,-177.91,331.52,-177.91
323.91,-171.88,323.91,-171.88
316.01,-166.2,316.01,-166.2
307.8,-160.85,307.8,-160.85
299.31,-155.84,299.31,-155.84
290.52,-151.14,290.52,-151.14
281.46,-146.75,281.46,-146.75
272.13,-142.64,272.13,-142.64
262.55,-138.79,262.55,-138.79
252.73,-135.19,252.73,-135.19
242.69,-131.81,242.69,-131.81
232.46,-128.61,232.46,-128.61
222.05,-125.57,222.05,-125.57
211.5,-122.66,211.5,-122.66
200.84,-119.84,200.84,-119.84
190.1,-117.06,190.1,-117.06
179.32,-114.29,179.32,-114.29
168.53,-111.49,168.53,-111.49
157.78,-108.6,157.78,-108.6
147.12,-105.58,147.12,-105.58
136.6,-102.37,136.6,-102.37
126.27,-98.92,126.27,-98.92
116.18,-95.16,116.18,-95.16
106.4,-91.05,106.4,-91.05
96.99,-86.52,96.99,-86.52
88.02,-81.49,88.02,-81.49
79.55,-75.92,79.55,-75.92
71.66,-69.71,71.66,-69.71
64.42,-62.82,64.42,-62.82
57.93,-55.16,57.93,-55.16
52.24,-46.65,52.24,-46.65
47.47,-37.23,47.47,-37.23
43.68,-26.82,43.68,-26.82
40.97,-15.34,40.97,-15.34
39.44,-2.71,39.44,-2.71
39.17,11.14,39.17,11.14
40.27,26.29,40.27,26.29
42.82,42.82,42.82,42.82
648.64,-443.06,648.64,-443.06
