x,y,z
-410,0,-556.5778546712803
-400,0,-559.6885813148788
-390,0,-561.6643598615916
-380,0,-562.5051903114187
-370,0,-562.2110726643599
-360,0,-560.7820069204151
-350,0,-558.2179930795847
-340,0,-554.5190311418685
-330,0,-549.6851211072665
-320,0,-543.7162629757786
-310,0,-536.6124567474047
-300,0,-528.3737024221452
-290,0,-519.0
-280,0,-508.4913494809689
-270,0,-496.8477508650518
-260,0,-484.0692041522491
-250,0,-470.1557093425606
-240,0,-455.1072664359863
-230,0,-438.92387543252596
-220,0,-421.6055363321799
-210,0,-403.1522491349481
-200,0,-383.5640138408304
-190,0,-362.84083044982697
-180,0,-340.9826989619377
-170,0,-317.9896193771626
-160,0,-293.86159169550183
-150,0,-268.59861591695505
-140,0,-242.2006920415225
-130,0,-214.6678200692041
-120,0,-186.00000000000003
-110,0,-156.19723183390997
-100,0,-125.25951557093421
-90,0,-93.1868512110726
-80,0,-59.97923875432528
-70,0,-25.636678200692046
-60,0,9.840830449826996
-50,0,46.453287197231845
-40,0,84.2006920415225
-30,0,123.08304498269896
-20,0,163.10034602076126
-10,0,204.25259515570934
0,0,246.53979238754326
10,0,289.961937716263
20,0,334.51903114186854
30,0,380.2110726643599
40,0,427.0380622837371
50,0,410
50,0,420
50,0,430
50,0,440
50,0,450
50,0,460
50,0,470
50,0,475
-800,0,460
-800,0,470
-800,0,480
-800,0,490
-800,0,500
-800,0,510
-800,0,520
-800,0,525
-800,0,525.0000000000002
-790,0,474.13840830449834
-780,0,424.49480968858114
-770,0,376.0692041522495
-760,0,328.861591695502
-750,0,282.87197231833915
-740,0,238.10034602076183
-730,0,194.54671280276824
-720,0,152.2110726643602
-710,0,111.09342560553631
-700,0,71.19377162629797
-690,0,32.51211072664381
-680,0,-4.951557093425265
-670,0,-41.197231833910166
-660,0,-76.22491349480953
-650,0,-110.03460207612471
-640,0,-142.62629757785436
-630,0,-173.99999999999983
-620,0,-204.15570934256021
-610,0,-233.09342560553642
-600,0,-260.8131487889271
-590,0,-287.3148788927336
-580,0,-312.598615916955
-570,0,-336.6643598615918
-560,0,-359.51211072664347
-550,0,-381.14186851211076
-540,0,-401.55363321799297
-530,0,-420.74740484429077
-520,0,-438.72318339100326
-510,0,-455.4809688581311
-500,0,-471.0207612456746
-490,0,-485.34256055363295
-480,0,-498.4463667820069
-470,0,-510.3321799307956
-460,0,-520.9999999999998
-450,0,-530.4498269896189
-440,0,-538.6816608996539
-430,0,-545.6955017301036
-420,0,-551.4913494809687
-410,0,-556.0692041522491
-400,0,-559.4290657439446
-390,0,-561.5709342560554
-380,0,-562.4948096885812
-370,0,-562.2006920415222
-360,0,-560.6885813148788
-350,0,-557.9584775086503
-340,0,-554.0103806228371
-330,0,-548.8442906574394
-320,0,-542.4602076124565
-310,0,-534.8581314878891
-300,0,-526.038062283737
-290,0,-516.0
-280,0,-504.7439446366781
-270,0,-492.26989619377156
-260,0,-478.57785467128025
-250,0,-463.6678200692041
-240,0,-447.5397923875433
-230,0,-430.1937716262975
-220,0,-411.6297577854671
-210,0,-391.84775086505186
-200,0,-370.84775086505186
-190,0,-348.629757785467
-180,0,-325.1937716262975
-170,0,-300.5397923875432
-160,0,-274.6678200692041
-150,0,-247.57785467128025
-140,0,-219.26989619377156
-130,0,-189.74394463667818
-120,0,-159.0
-110,0,-127.03806228373702
-100,0,-93.8581314878893
-90,0,-59.46020761245671
-80,0,-23.844290657439444
-70,0,12.989619377162626
-60,0,51.0415224913495
-50,0,90.31141868512111
-40,0,130.79930795847753
-30,0,172.5051903114187
-20,0,215.42906574394465
-10,0,259.57093425605535
0,0,304.93079584775086
10,0,351.5086505190311
20,0,399.30449826989616
30,0,448.318339100346
40,0,498.5501730103806
50,0,485
50,0,495
50,0,505
50,0,515
50,0,525
50,0,535
50,0,545
50,0,550
-800,0,535
-800,0,545
-800,0,555
-800,0,565
-800,0,575
-800,0,585
-800,0,595
-800,0,600
-800,0,600.0000000000006
-790,0,545.6505190311424
-780,0,492.6020761245678
-770,0,440.85467128027733
-760,0,390.40830449827047
-750,0,341.26297577854723
-740,0,293.4186851211076
-730,0,246.87543252595208
-720,0,201.63321799308017
-710,0,157.69204152249188
-700,0,115.05190311418676
-690,0,73.71280276816617
-680,0,33.67474048442921
-670,0,-5.062283737024131
-660,0,-42.49826989619339
-650,0,-78.63321799307948
-640,0,-113.4671280276815
-630,0,-146.9999999999999
-620,0,-179.2318339100342
-610,0,-210.16262975778488
-600,0,-239.79238754325195
-590,0,-268.1211072664354
-580,0,-295.1487889273352
-570,0,-320.8754325259514
-560,0,-345.30103806228374
-550,0,-368.425605536332
-540,0,-390.24913494809664
-530,0,-410.77162629757765
-520,0,-429.9930795847748
-510,0,-447.91349480968836
-500,0,-464.53287197231805
-490,0,-479.8512110726641
-480,0,-493.86851211072633
-470,0,-506.5847750865049
-460,0,-517.9999999999997
-450,0,-528.1141868512105
-440,0,-536.9273356401385
-430,0,-544.4394463667819
-420,0,-550.6505190311417
-410,0,-555.5605536332179
-400,0,-559.1695501730102
-390,0,-561.4775086505189
-380,0,-562.4844290657437
-370,0,-562.1903114186849
-360,0,-560.5951557093423
-350,0,-557.6989619377163
-340,0,-553.5017301038062
-330,0,-548.0034602076123
-320,0,-541.2041522491348
-310,0,-533.1038062283735
-300,0,-523.7024221453285
-290,0,-512.9999999999998
-280,0,-500.9965397923876
-270,0,-487.6920415224912
-260,0,-473.0865051903113
-250,0,-457.17993079584755
-240,0,-439.9723183391002
-230,0,-421.46366782006896
-220,0,-401.65397923875435
-210,0,-380.54325259515565
-200,0,-358.1314878892732
-190,0,-334.41868512110716
-180,0,-309.40484429065725
-170,0,-283.08996539792383
-160,0,-255.47404844290656
-150,0,-226.55709342560544
-140,0,-196.3391003460207
-130,0,-164.82006920415222
-120,0,-131.9999999999999
-110,0,-97.87889273356404
-100,0,-62.456747404844236
-90,0,-25.73356401384075
-80,0,12.29065743944642
-70,0,51.615916955017326
-60,0,92.24221453287203
-50,0,134.1695501730104
-40,0,177.39792387543255
-30,0,221.92733564013844
-20,0,267.75778546712803
-10,0,314.8892733564014
0,0,363.3217993079585
10,0,413.0553633217993
20,0,464.0899653979239
30,0,516.4256055363321
40,0,570.0622837370242
-25.0,0,585
-25.0,0,595
-25.0,0,605
-25.0,0,615
-25.0,0,625
-25.0,0,635
-25.0,0,645
-25.0,0,650
-800,0,610
-800,0,620
-800,0,630
-800,0,640
-800,0,650
-800,0,660
-800,0,670
-800,0,675
-800.0,0,675.0000000000005
-790.0,0,608.4588969823112
-780.0,0,543.6742976066603
-770.0,0,480.64620187304945
-760.0,0,419.37460978147783
-750.0,0,359.8595213319463
-740.0,0,302.100936524454
-730.0,0,246.09885535900185
-720.0,0,191.85327783558887
-710.0,0,139.3642039542151
-700.0,0,88.63163371488054
-690.0,0,39.65556711758609
-680.0,0,-7.563995837668699
-670.0,0,-53.02705515088428
-660.0,0,-96.7336108220602
-650.0,0,-138.683662851196
-640.0,0,-178.8772112382926
-630.0,0,-217.31425598335
-620.0,0,-253.99479708636818
-610.0,0,-288.91883454734625
-600.0,0,-322.0863683662851
-590.0,0,-353.4973985431843
-580.0,0,-383.15192507804295
-570.0,0,-411.04994797086283
-560.0,0,-437.1914672216435
-550.0,0,-461.5764828303845
-540.0,0,-484.2049947970859
-530.0,0,-505.077003121748
-520.0,0,-524.19250780437
-510.0,0,-541.5515088449529
-500.0,0,-557.154006243496
-490.0,0,-571.0
-480.0,0,-583.0894901144636
-470.0,0,-593.4224765868883
-460.0,0,-601.9989594172735
-450.0,0,-608.818938605619
-440.0,0,-613.8824141519246
-430.0,0,-617.1893860561913
-420.0,0,-618.7398543184181
-410.0,0,-618.5338189386057
-400.0,0,-616.5712799167532
-390.0,0,-612.8522372528614
-380.0,0,-607.3766909469302
-370.0,0,-600.1446409989594
-360.0,0,-591.1560874089487
-350.0,0,-580.411030176899
-340.0,0,-567.9094693028096
-330.0,0,-553.6514047866806
-320.0,0,-537.6368366285117
-310.0,0,-519.8657648283038
-300.0,0,-500.33818938605623
-290.0,0,-479.05411030176856
-280.0,0,-456.0135275754419
-270.0,0,-431.21644120707583
-260.0,0,-404.6628511966701
-250.0,0,-376.3527575442247
-240.0,0,-346.2861602497396
-230.0,0,-314.46305931321535
-220.0,0,-280.8834547346512
-210.0,0,-245.54734651404783
-200.0,0,-208.45473465140458
-190.0,0,-169.60561914672212
-180.0,0,-129.0
-170.0,0,-86.63787721123833
-160.0,0,-42.519250780437005
-150.0,0,3.3558792924036425
-140.0,0,50.98751300728418
-130.0,0,100.37565036420403
-120.0,0,151.52029136316344
-110.0,0,204.4214360041624
-100.0,0,259.0790842872009
-90.0,0,315.49323621227893
-80.0,0,373.6638917793965
-70.0,0,433.5910509885536
-60.0,0,495.27471383975023
-50.0,0,558.7148803329865
-40.0,0,623.9115504682622
-30.0,0,690.8647242455775
-25.0,0,660
-25.0,0,670
-25.0,0,680
-25.0,0,690
-25.0,0,700
-25.0,0,710
-25.0,0,720
-25.0,0,725
-800,0,685
-800,0,695
-800,0,705
-800,0,715
-800,0,725
-800,0,735
-800,0,745
-800,0,750
-800,0,749.9999999999998
-790,0,688.3875432525954
-780,0,628.2560553633218
-770,0,569.60553633218
-760,0,512.4359861591699
-750,0,456.74740484429077
-740,0,402.53979238754374
-730,0,349.81314878892755
-720,0,298.5674740484431
-710,0,248.80276816608995
-700,0,200.51903114186854
-690,0,153.71626297577842
-680,0,108.39446366782005
-670,0,64.55363321799342
-660,0,22.193771626297178
-650,0,-18.68512110726641
-640,0,-58.083044982699164
-630,0,-96.00000000000017
-620,0,-132.43598615916943
-610,0,-167.39100346020786
-600,0,-200.86505190311408
-590,0,-232.858131487889
-580,0,-263.37024221453265
-570,0,-292.401384083045
-560,0,-319.95155709342606
-550,0,-346.0207612456749
-540,0,-370.6089965397925
-530,0,-393.71626297577876
-520,0,-415.3425605536333
-510,0,-435.48788927335653
-500,0,-454.152249134948
-490,0,-471.3356401384082
-480,0,-487.0380622837369
-470,0,-501.25951557093407
-460,0,-514.0000000000002
-450,0,-525.2595155709346
-440,0,-535.0380622837372
-430,0,-543.3356401384085
-420,0,-550.1522491349483
-410,0,-555.4878892733566
-400,0,-559.3425605536333
-390,0,-561.7162629757786
-380,0,-562.6089965397923
-370,0,-562.0207612456745
-360,0,-559.9515570934257
-350,0,-556.4013840830451
-340,0,-551.3702422145329
-330,0,-544.8581314878895
-320,0,-536.8650519031144
-310,0,-527.3910034602077
-300,0,-516.4359861591695
-290,0,-503.99999999999994
-280,0,-490.08304498269916
-270,0,-474.6851211072665
-260,0,-457.8062283737025
-250,0,-439.4463667820069
-240,0,-419.60553633217995
-230,0,-398.2837370242216
-220,0,-375.4809688581316
-210,0,-351.19723183391005
-200,0,-325.4325259515571
-190,0,-298.1868512110727
-180,0,-269.4602076124567
-170,0,-239.25259515570934
-160,0,-207.56401384083046
-150,0,-174.39446366782005
-140,0,-139.74394463667835
-130,0,-103.6124567474049
-120,0,-65.99999999999994
-110,0,-26.90657439446369
-100,0,13.66782006920414
-90,0,55.72318339100343
-80,0,99.25951557093424
-70,0,144.2768166089965
-60,0,190.7750865051903
-50,0,238.75432525951555
-40,0,288.2145328719723
-30,0,339.15570934256056
-20,0,391.5778546712803
-10,0,445.4809688581315
0,0,500.8650519031142
10,0,557.7301038062284
20,0,616.076124567474
30,0,675.9031141868512
40,0,737.2110726643599
50,0,735
50,0,745
50,0,755
50,0,765
50,0,775
50,0,785
50,0,795
50,0,800
-800,0,760
-800,0,770
-800,0,780
-800,0,790
-800,0,800
-800,0,810
-800,0,820
-800,0,825
-800,0,825.0000000000007
-790,0,759.8996539792386
-780,0,696.3633217993081
-770,0,634.3910034602084
-760,0,573.9826989619376
-750,0,515.1384083044984
-740,0,457.85813148789
-730,0,402.1418685121105
-720,0,347.9896193771626
-710,0,295.4013840830455
-700,0,244.37716262975778
-690,0,194.91695501730123
-680,0,147.02076124567452
-670,0,100.688581314879
-660,0,55.92041522491377
-650,0,12.716262975778363
-640,0,-28.9238754325263
-630,0,-68.99999999999977
-620,0,-107.51211072664341
-610,0,-144.46020761245677
-600,0,-179.8442906574394
-590,0,-213.66435986159172
-580,0,-245.92041522491377
-570,0,-276.6124567474046
-560,0,-305.74048442906565
-550,0,-333.3044982698964
-540,0,-359.30449826989593
-530,0,-383.74048442906565
-520,0,-406.6124567474051
-510,0,-427.92041522491354
-500,0,-447.6643598615915
-490,0,-465.8442906574394
-480,0,-482.46020761245677
-470,0,-497.5121107266434
-460,0,-511.0
-450,0,-522.9238754325261
-440,0,-533.2837370242212
-430,0,-542.0795847750865
-420,0,-549.3114186851212
-410,0,-554.979238754325
-400,0,-559.0830449826988
-390,0,-561.6228373702422
-380,0,-562.5986159169552
-370,0,-562.0103806228371
-360,0,-559.8581314878893
-350,0,-556.1418685121109
-340,0,-550.8615916955018
-330,0,-544.0173010380622
-320,0,-535.6089965397925
-310,0,-525.6366782006919
-300,0,-514.1003460207612
-290,0,-501.0000000000002
-280,0,-486.3356401384083
-270,0,-470.10726643598605
-260,0,-452.31487889273365
-250,0,-432.9584775086505
-240,0,-412.0380622837371
-230,0,-389.55363321799314
-220,0,-365.5051903114186
-210,0,-339.89273356401395
-200,0,-312.7162629757785
-190,0,-283.97577854671295
-180,0,-253.67128027681656
-170,0,-221.80276816609
-160,0,-188.37024221453294
-150,0,-153.37370242214524
-140,0,-116.81314878892726
-130,0,-78.68858131487889
-120,0,-39.0
-110,0,2.2525951557094004
-100,0,45.0692041522492
-90,0,89.4498269896194
-80,0,135.39446366782005
-70,0,182.9031141868512
-60,0,231.97577854671277
-50,0,282.61245674740485
-40,0,334.8131487889273
-30,0,388.5778546712803
-20,0,443.9065743944637
-10,0,500.7993079584775
0,0,559.2560553633218
10,0,619.2768166089966
20,0,680.8615916955017
30,0,744.0103806228374
40,0,808.7231833910034
50,0,810
